CITY,zipprevcase,mprevcase,fprevcase,bnhprevcase,hispprevcase,wnhprevcase,asnhprevcase,otherprevcase,zipndxcase,zipndxprop,mndxcase,mndxprop,fndxcase,fndxprop,bnhndxcase,bnhndxprop,hispndxcase,hispndxprop,wnhndxcase,wnhndxprop,age1324ndxcase,age1324ndxprop,age2544ndxcase,age2544ndxprop,age4559ndxcase,age4559ndxprop,age60overndxcase,age60overndxprop,zipldxcase,zipldxprop,mldxcase,mldxprop,fldxcase,fldxprop,bnhldxcase,bnhldxprop,hispldxcase,hispldxprop,wnhldxcase,wnhldxprop,age1324ldxcase,age1324ldxprop,age2544ldxcase,age2544ldxprop,age4559ldxcase,age4559ldxprop,age60overldxcase,age60overldxprop,ziplccase,ziplcprop,mlccase,mlcprop,flccase,flcprop,bnhlccase,bnhlcprop,hisplccase,hisplcprop,wnhlccase,wnhlcprop,age1324lccase,age1324lcprop,age2544lccase,age2544lcprop,age4559lccase,age4559lcprop,age60overlccase,age60overlcprop,ziprccase,ziprcprop,mrccase,mrcprop,frccase,frcprop,bnhrccase,bnhrcprop,hisprccase,hisprcprop,wnhrccase,wnhrcprop,age1324rccase,age1324rcprop,age2544rccase,age2544rcprop,age4559rccase,age4559rcprop,age60overrccase,age60overrcprop,zipvscase,zipvsprop,mvscase,mvsprop,fvscase,fvsprop,bnhvscase,bnhvsprop,hispvscase,hispvsprop,wnhvscase,wnhvsprop,age1324vscase,age1324vsprop,age2544vscase,age2544vsprop,age4559vscase,age4559vsprop,age60overvscase,age60overvsprop
Atlanta,34568,27730,6838,24244,2570,5861,217,1676,7710,44,6385,75.8,1325,14.6,5656,94.8,693,38.8,1035,12.2,1810,50.7,4269,63.9,1352,30.7,279,9.7,1504,19.5,1244,19.5,260,19.6,1042,18.4,185,26.7,217,21,183,10.1,829,19.4,403,29.8,89,31.9,5321,69,4425,69.3,896,67.6,3778,66.8,499,72,799,77.2,1157,63.9,2949,69.1,1002,74.1,213,76.3,24981,75.6,20212,76.2,4769,73.2,17405,75.4,1760,71.5,4300,76.3,830,83.8,10975,76.6,9866,74.8,3310,73.2,20576,59.5,16630,60,3946,57.7,13860,57.2,1553,60.4,3870,66,578,54.7,8434,55.9,8618,63,2946,62
Austin,6103,5242,861,1327,2112,2356,80,228,1498,21.4,1328,38,170,4.8,270,55.2,632,31.5,510,12.6,355,22.7,851,30.8,242,15,50,4.7,270,18,233,17.5,37,21.8,47,17.4,125,19.8,81,15.9,18,5.1,153,18,77,31.8,22,44,946,63.2,828,62.3,118,69.4,147,54.4,407,64.4,333,65.3,189,53.2,548,64.4,165,68.2,44,88,5036,85.4,4325,85.4,711,85.4,1044,82.7,1725,84.6,2009,87.7,136,82.9,2040,83.8,2092,85.9,768,88.9,4330,70.9,3727,71.1,603,70,862,65,1508,71.4,1741,73.9,116,67.1,1686,66.2,1819,72.9,709,79.8
Baltimore,17945,11712,6233,13651,816,2375,105,998,2618,22.6,1939,35.1,679,11.2,1920,60.9,158,33.3,402,5.6,536,23.3,1329,36,582,18.9,171,6.8,578,22.1,429,22.1,149,21.9,384,20,43,27.2,115,28.6,56,10.4,274,20.6,182,31.3,66,38.6,1986,75.9,1471,75.9,515,75.8,1436,74.8,125,79.1,317,78.9,412,76.9,996,74.9,439,75.4,139,81.3,13358,80.5,8513,78.8,4845,83.5,10144,80.9,597,76.8,1715,77.1,304,82.6,3990,79.5,6023,81.8,3041,78.9,11326,63.1,7268,62.1,4058,65.1,8502,62.3,516,63.2,1537,64.7,222,57.4,3206,59.7,5161,64.6,2737,65.2
BatonRouge,3764,2322,1442,3241,72,422,10,19,976,53.6,671,77.6,305,31.9,848,108.9,30,45.9,87,9.6,244,53.7,527,89.4,161,37.8,44,12.5,188,19.3,135,20.1,53,17.4,155,18.3,9,30,23,26.4,19,7.8,114,21.6,42,26.1,13,29.5,711,72.8,491,73.2,220,72.1,612,72.2,27,90,63,72.4,169,69.3,382,72.5,131,81.4,29,65.9,3091,85.7,1876,85,1215,86.9,2679,86.3,43,60.6,342,84.9,124,87.3,1345,83.4,1158,88.6,464,85.1,2624,69.7,1590,68.5,1034,71.7,2240,69.1,42,58.3,320,75.8,94,60.6,1106,65.4,1012,74.5,412,73.7
Birmingham,4175,3120,1055,2624,136,1137,8,270,832,17.6,672,29.8,160,6.5,551,42.9,35,20.1,207,6.5,217,24.1,428,27.6,151,12.4,36,3.4,177,21.3,142,21.1,35,21.9,107,19.4,13,37.1,50,24.2,22,10.1,87,20.3,53,35.1,15,41.7,576,69.2,456,67.9,120,75,382,69.3,27,77.1,139,67.2,140,64.5,296,69.2,115,76.2,25,69.4,3299,85.7,2463,85.9,836,85.1,2068,85,98,77.2,889,87.1,99,90,1294,82.4,1389,87.9,517,88.2,2757,66,2061,66.1,696,66,1656,63.1,90,66.2,803,70.6,84,72.4,1048,63.1,1193,69,432,64.4
Bridgeport,2510,1650,860,941,842,655,33,39,367,9.7,265,14.6,102,5.2,168,44.3,101,16.7,85,3.3,58,8.3,174,14.7,98,9.4,37,4.3,98,26.7,70,26.4,28,27.5,46,27.4,25,24.8,23,27.1,4,6.9,41,23.6,38,38.8,15,40.5,282,76.8,204,77,78,76.5,123,73.2,85,84.2,64,75.3,42,72.4,139,79.9,76,77.6,25,67.6,1897,79.2,1251,79.4,646,78.8,735,82.2,601,74.6,507,81.3,29,67.4,440,75,893,80.6,535,81.4,1593,63.5,1071,64.9,522,60.7,582,61.8,523,62.1,447,68.2,19,44.2,368,59.3,746,64.6,460,66.7
BrowardCO,19385,14475,4910,8973,3628,6313,142,329,3417,46.4,2693,76.2,724,18.9,1626,91,867,48.1,839,24.8,529,40,1755,73.8,890,45.7,243,14.1,632,18.5,465,17.3,167,23.1,380,23.4,110,12.7,118,14.1,38,7.2,306,17.4,223,25.1,65,26.7,2544,74.5,2051,76.2,493,68.1,1113,68.5,676,78,681,81.2,360,68.1,1300,74.1,697,78.3,187,77,15279,82.6,11448,82.6,3831,82.5,6796,80.4,2871,82.8,5225,85.4,365,83.3,4175,79.6,7167,83.5,3572,84.5,13285,68.5,10151,70.1,3134,63.8,5590,62.3,2561,70.6,4792,75.9,280,62.4,3446,62.6,6338,70.5,3221,72.5
Charleston,1996,1477,519,1275,101,562,7,51,445,26.3,347,42.7,98,11.2,292,62.7,29,35.1,103,9.4,114,32.5,218,37.8,85,21,28,7.8,101,22.7,71,20.5,30,30.6,71,24.3,3,10.3,24,23.3,15,13.2,52,23.9,21,24.7,13,46.4,329,73.9,256,73.8,73,74.5,213,72.9,25,86.2,76,73.8,88,77.2,160,73.4,59,69.4,22,78.6,1318,70.3,959,69.5,359,72.7,886,74,51,55.4,339,64.3,47,87,457,70.1,522,67.2,292,74.7,1138,57,827,56,311,59.9,743,58.3,47,46.5,312,55.5,37,66.1,363,53.1,478,56.7,260,62.8
Charlotte,6601,4824,1777,4668,479,1160,52,242,1372,36.3,1133,62.8,239,12.1,959,85.9,139,34.2,207,10.3,333,44.2,755,49.7,230,25.8,54,8.8,226,16.5,178,15.7,48,20.1,152,15.9,31,22.3,32,15.5,20,6,123,16.3,65,28.3,18,33.3,842,61.4,676,59.7,166,69.5,563,58.7,82,59,149,72,154,46.2,479,63.4,163,70.9,46,85.2,4734,78,3405,77,1329,80.7,3377,78.7,305,73,824,76.7,155,84.7,1859,76.1,1983,78.9,737,79.2,4078,61.8,2946,61.1,1132,63.7,2843,60.9,276,57.6,766,66,111,55.8,1532,57.8,1763,64.6,672,65.7
Chicago,17204,14045,3159,8830,3767,3482,221,904,4183,37.5,3515,65.4,668,11.5,2271,63.7,947,32.3,738,19.1,1076,45.8,2253,50.7,701,29.2,153,7.8,788,18.8,655,18.6,133,19.9,401,17.7,224,23.7,107,14.5,96,8.9,416,18.5,221,31.5,55,35.9,3227,77.1,2720,77.4,507,75.9,1657,73,756,79.8,628,85.1,782,72.7,1783,79.1,549,78.3,113,73.9,12297,75.5,10063,75.4,2234,75.8,6270,75.8,2609,73.1,2545,75.9,410,76.4,4570,74.5,5089,76.8,2228,74.4,9339,54.3,7745,55.1,1594,50.5,4553,51.6,2154,57.2,1937,55.6,282,49.8,3428,52.6,3936,56.8,1693,52.9
